fips,county,medical_sale,retail_sale,medical_share,retail_share,total_sale,total_share,store,medical_store,recreational_store
08001,Adams,9090718,146184026,0.021281426,0.086608859,155274744,0.073414866,40,8,32
08003,Alamosa,,,0,0,0,0,3,2,1
08005,Arapahoe,12127835,176186264,0.028391336,0.104384123,188314099,0.089036079,36,7,29
08007,Archuleta,,15536321,0,0.00920472,15536321,0.007345669,6,0,6
08009,Baca,,,0,0,0,0,0,0,0
08011,Bent,,504288,0,0.000298773,504288,0.000238431,6,1,5
08013,Boulder,15116473,123216544,0.035387756,0.073001439,138333017,0.065404712,73,19,54
08015,Chaffee,,6830041,0,0.004046557,6830041,0.003229286,5,1,4
08017,Cheyenne,,,0,0,0,0,0,0,0
08019,Clear Creek,,8852029,0,0.005244514,8852029,0.004185294,12,2,10
08021,Conejos,,,0,0,0,0,3,0,3
08023,Costilla,,6844327,0,0.004055021,6844327,0.00323604,5,1,4
08025,Crowley,,,0,0,0,0,3,0,3
08027,Custer,,,0,0,0,0,0,0,0
08029,Delta,,,0,0,0,0,1,1,0
08031,Denver,197329321,512148553,0.461949145,0.303429882,709477874,0.335445559,347,158,189
08033,Dolores,,,0,0,0,0,0,0,0
08035,Douglas,,,0,0,0,0,0,0,0
08037,Eagle,1404624,21207527,0.003288233,0.012564709,22612151,0.010691166,15,5,10
08039,Elbert,,,0,0,0,0,0,0,0
08041,El Paso,143725552,,0.336462395,0,143725552,0.067954337,126,124,2
08043,Fremont,223258,,0.000522648,0,223258,0.000105558,3,3,0
08045,Garfield,1230732,27861764,0.002881151,0.016507109,29092496,0.013755113,28,5,23
08047,Gilpin,,3223435,0,0.001909771,3223435,0.00152406,8,1,7
08049,Grand,,8027996,0,0.004756303,8027996,0.003795687,7,1,6
08051,Gunnison,,9464381,0,0.005607311,9464381,0.004474818,15,0,15
08053,Hinsdale,,,0,0,0,0,0,0,0
08055,Huerfano,,3438327,0,0.002037087,3438327,0.001625662,6,1,5
08057,Jackson,,,0,0,0,0,0,0,0
08059,Jefferson,20139400,64457880,0.047146458,0.038189011,84597280,0.039998121,46,24,22
08061,Kiowa,,,0,0,0,0,0,0,0
08063,Kit Carson,,,0,0,0,0,0,0,0
08065,Lake,,2816394,0,0.001668614,2816394,0.001331609,3,0,3
08067,La Plata,,40057769,0,0.02373281,40057769,0.018939563,16,2,14
08069,Larimer,9427779,110537175,0.022070488,0.065489362,119964954,0.056720178,30,15,15
08071,Las Animas,328912,70831986,0.000769985,0.041965444,71160898,0.033645316,29,3,26
08073,Lincoln,,,0,0,0,0,0,0,0
08075,Logan,,,0,0,0,0,0,0,0
08077,Mesa,,29926599,0,0.01773045,29926599,0.014149482,7,1,6
08079,Mineral,,,0,0,0,0,0,0,0
08081,Moffat,,12789062,0,0.007577066,12789062,0.006046748,12,2,10
08083,Montezuma,,30119144,0,0.017844526,30119144,0.014240519,12,2,10
08085,Montrose,,,0,0,0,0,5,2,3
08087,Morgan,,22497768,0,0.013329131,22497768,0.010637085,5,1,4
08089,Otero,,3503978,0,0.002075983,3503978,0.001656703,5,2,3
08091,Ouray,,10591968,0,0.006275366,10591968,0.005007948,4,1,3
08093,Park,,7150642,0,0.004236502,7150642,0.003380868,7,1,6
08095,Phillips,,,0,0,0,0,0,0,0
08097,Pitkin,,14527219,0,0.008606863,14527219,0.00686856,11,1,10
08099,Prowers,,,0,0,0,0,0,0,0
08101,Pueblo,12859816,109245858,0.030104908,0.064724302,122105674,0.057732323,55,15,40
08103,Rio Blanco,,,0,0,0,0,0,0,0
08105,Rio Grande,,,0,0,0,0,2,0,2
08107,Routt,631466,12985214,0.001478266,0.007693279,13616680,0.006438051,8,3,5
08109,Saguache,,4777160,0,0.002830298,4777160,0.002258671,6,1,5
08111,San Juan,,332709,0,0.000197118,332709,0.000157307,3,0,3
08113,San Miguel,,5516859,0,0.003268544,5516859,0.002608405,7,1,6
08115,Sedgwick,,3680109,0,0.002180334,3680109,0.001739978,4,1,3
08117,Summit,,28690470,0,0.016998088,28690470,0.013565033,15,4,11
08119,Teller,,,0,0,0,0,0,0,0
08121,Washington,,,0,0,0,0,0,0,0
08123,Weld,3530877,33302800,0.008265805,0.01973073,36833677,0.017415192,10,4,6
08125,Yuma,,,0,0,0,0,0,0,0
