LicenseNumber,FacilityName,DBA,FacilityType,City,county,fips,ZipCode,DateUpdated,med_1
402-00001,ALLGREENS LLC,,MMC,Denver,Denver,08031,80204,2021-06-01,1
402-00002,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC ,,MMC,Denver,Denver,08031,80218,2021-06-01,1
402-00005,P2C3 LLC,THE SECRET STASH,MMC,Colorado Springs,El Paso,08041,80904,2021-06-01,1
402-00008,HERBAL OUTFITTERS LLC,THE GREEN JOINT,MMC,Rifle,Garfield,08045,81650,2021-06-01,1
402-00011,JGB VENTURES LLC,DANK ,MMC,Denver,Denver,08031,80207,2021-06-01,1
402-00012,GM 2280 LLC ,,MMC,Denver,Denver,08031,80231,2021-06-01,1
402-00031,NATURAL MYSTIC CANNABIS CAREGIVERS LLC,,MMC,Colorado Springs,El Paso,08041,80903,2021-06-01,1
402-00018,GREEN KIWI 1 LLC,LIVWELL,MMC,Denver,Denver,08031,80207,2021-06-01,1
402-00017,1617 WAZEE STREET LLC,LODO WELLNESS CENTER,MMC,Denver,Denver,08031,80202,2021-06-01,1
402-00053,HOLLISTER & BLACKSMITH INC,NATURALEAF,MMC,Colorado Springs,El Paso,08041,80918,2021-06-01,1
402-00039,SUMMIT WELLNESS,DENREC DENVER RECREATIONAL DISPENSARY,MMC,Denver,Denver,08031,80223,2021-06-01,1
402-00043,CURE MEDICAL PHARM INC,RIVERROCK,MMC,Denver,Denver,08031,80204,2021-06-01,1
402-00024,THE PURPLE DRAGON LLC,,MMC,Denver,Denver,08031,80211,2021-06-01,1
402-00037,SOUTHWEST ALTERNATIVE CARE LLC,KAYA,MMC,Basalt,Eagle,08037,81621,2021-06-01,1
402-00080,TUMBLEWEED STEAMBOAT LLC,RK ENTERPRISES ,MMC,Steamboat Springs,Routt,08107,80487,2021-06-01,1
402-00075,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,MMC,Denver,Denver,08031,80220,2021-06-01,1
402-00049,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,MMC,Denver,Denver,08031,80223,2021-06-01,1
402-00050,COMPASSIONATE CARE GIVERS INC,CANNABIS STATION,MMC,Denver,Denver,08031,80202,2021-06-01,1
402-00051,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,MMC,Denver,Denver,08031,80202,2021-06-01,1
